temperature,percentage,label,n_files,n_observations,mean_of_mean,std_of_mean,mean_of_std
350,0,1,3,25008,-0.08518917361895244,1.1754056704404277,0.19872429966926575
350,0,2,3,18192,0.14548328518867493,1.1268012605763849,0.1859124849239985
350,7,1,3,30073,-1.0270121097564697,0.008335210903228226,0.1639438420534134
350,7,2,3,13127,-0.7893474300702413,0.024805099860136265,0.16295543809731802
400,7,1,2,20834,-1.7583063244819641,0.32362078307453385,0.183405801653862
400,7,2,2,7966,-1.5263178944587708,0.36997102108111635,0.17508850246667862
425,7,1,3,28186,-1.4521207412083943,0.2676115687191458,0.24283537765343985
425,7,2,3,15014,-1.1487608353296916,0.28411535454364384,0.21928807099660239
